dataset_folder,dataset_exp_name,participation_method,model,n_seeds,mean_score,std_score,chance_level,chance_source,category_en,category_ch,subtype,t_stat,p_raw,cohens_d,above_chance,p_holm_global,p_holm_within_dataset
AD65_cross_subject_linear_downsample,AD65,cross_subject,bendr,3,0.3380938519401206,0.00971810367855673,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,0.8484638948158592,0.48553288720019705,0.48986085806961466,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,biot,3,0.5083650017245946,0.11954700470108193,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,2.5359375866024387,0.1266274349006241,1.464124248273008,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,brainomni,3,0.4526938154047246,0.12443700486147849,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,1.661390191717504,0.23852044071988537,0.959204074417105,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,cbramod,3,0.3768715484252476,0.02586044595680226,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,2.9160518243198315,0.10023074594780917,1.683583305741954,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,eegmamba,3,0.37667671966243227,0.061254538401675385,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,1.2255899604009153,0.3450883185744545,0.7075946935535712,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,femba,3,0.4557655966992203,0.10976696843903101,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,1.9319008591656244,0.19309460768339268,1.1153834810869425,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,labram,3,0.4739906521145107,0.11497324660493267,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,2.118976629602795,0.1682328859457906,1.2233917275077,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,neurogpt,3,0.41951879233800765,0.09254869996279569,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,1.612962623243219,0.24808701224139804,0.9312444047222775,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,neurolm,3,0.38081679381001693,0.16723375055054895,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,0.49178928173320663,0.6715455614444115,0.28393467419323953,True,1.0,1.0
AD65_cross_subject_linear_downsample,AD65,cross_subject,reve,3,0.352961513369541,0.028912873992795563,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,1.1758431587012812,0.3606721600727997,0.6788733642009646,True,1.0,1.0
ADHD_cross_subject_linear_downsample,ADHD,cross_subject,bendr,3,0.4886378424418076,0.010370971433256462,0.5,balanced_chance,Biometrics & Disease,个体与疾病,神经发育障碍（ASD/ADHD等）,-1.897588311861021,0.1981828166011047,-1.0955731226640482,False,1.0,0.7927312664044188
ADHD_cross_subject_linear_downsample,ADHD,cross_subject,biot,3,0.5512292352085595,0.06152888080406625,0.5,balanced_chance,Biometrics & Disease,个体与疾病,神经发育障碍（ASD/ADHD等）,1.4421136392303338,0.28602038996200485,0.8326046978116641,True,1.0,0.8580611698860146
